Dealer Up,Drawn Cards,Num of Hits,Your End Total,Dealer's Face Down,Dealer Drawn Cards,Dealer Num Hits,Dealer End Total,Did YOU Win
7 of Clubs,"['7 of Clubs', '9 of Diamonds', '5 of Clubs', '6 of Spades', 'Ace of Spades', '4 of Diamonds', '6 of Hearts', '7 of Spades', 'King of Hearts', 'Queen of Spades', 'King of Clubs']",2,17,3 of Clubs,"['3 of Hearts', '10 of Hearts']",2,20,False
7 of Clubs,"['7 of Clubs', '9 of Diamonds', '5 of Clubs', '6 of Spades', 'Ace of Spades', '4 of Diamonds', '6 of Hearts', '7 of Spades', 'King of Hearts', 'Queen of Spades', 'King of Clubs', 'Ace of Hearts', '2 of Diamonds']",2,22,3 of Clubs,"['3 of Hearts', '10 of Hearts']",2,20,False
7 of Clubs,"['7 of Clubs', '9 of Diamonds', '5 of Clubs', '6 of Spades', 'Ace of Spades', '4 of Diamonds', '6 of Hearts', '7 of Spades', 'King of Hearts', 'Queen of Spades', 'King of Clubs', 'Ace of Hearts', '2 of Diamonds', '5 of Diamonds', '10 of Clubs']",0,10,3 of Clubs,"['3 of Hearts', '10 of Hearts']",2,20,False
7 of Clubs,"['7 of Clubs', '9 of Diamonds', '5 of Clubs', '6 of Spades', 'Ace of Spades', '4 of Diamonds', '6 of Hearts', '7 of Spades', 'King of Hearts', 'Queen of Spades', 'King of Clubs', 'Ace of Hearts', '2 of Diamonds', '5 of Diamonds', '10 of Clubs']",0,17,3 of Clubs,"['3 of Hearts', '10 of Hearts']",2,20,False
7 of Clubs,"['7 of Clubs', '9 of Diamonds', '5 of Clubs', '6 of Spades', 'Ace of Spades', '4 of Diamonds', '6 of Hearts', '7 of Spades', 'King of Hearts', 'Queen of Spades', 'King of Clubs', 'Ace of Hearts', '2 of Diamonds', '5 of Diamonds', '10 of Clubs']",0,20,3 of Clubs,"['3 of Hearts', '10 of Hearts']",2,20,False
8 of Spades,"['8 of Spades', '7 of Clubs', 'Jack of Hearts', '6 of Spades', 'King of Hearts', '4 of Diamonds', '4 of Spades', 'King of Clubs', '8 of Clubs', '2 of Clubs', '5 of Hearts']",2,17,King of Diamonds,['Queen of Hearts'],1,18,False
8 of Spades,"['8 of Spades', '7 of Clubs', 'Jack of Hearts', '6 of Spades', 'King of Hearts', '4 of Diamonds', '4 of Spades', 'King of Clubs', '8 of Clubs', '2 of Clubs', '5 of Hearts']",3,18,King of Diamonds,['Queen of Hearts'],1,18,False
8 of Spades,"['8 of Spades', '7 of Clubs', 'Jack of Hearts', '6 of Spades', 'King of Hearts', '4 of Diamonds', '4 of Spades', 'King of Clubs', '8 of Clubs', '2 of Clubs', '5 of Hearts', '2 of Diamonds']",0,4,King of Diamonds,['Queen of Hearts'],1,18,False
8 of Spades,"['8 of Spades', '7 of Clubs', 'Jack of Hearts', '6 of Spades', 'King of Hearts', '4 of Diamonds', '4 of Spades', 'King of Clubs', '8 of Clubs', '2 of Clubs', '5 of Hearts', '2 of Diamonds']",0,18,King of Diamonds,['Queen of Hearts'],1,18,False
8 of Spades,"['8 of Spades', '7 of Clubs', 'Jack of Hearts', '6 of Spades', 'King of Hearts', '4 of Diamonds', '4 of Spades', 'King of Clubs', '8 of Clubs', '2 of Clubs', '5 of Hearts', '2 of Diamonds']",0,7,King of Diamonds,['Queen of Hearts'],1,18,False
Jack of Diamonds,"['Jack of Diamonds', '2 of Hearts', '9 of Spades', '7 of Spades', 'Ace of Clubs', '6 of Clubs', '4 of Hearts', 'Queen of Diamonds', '6 of Hearts', '8 of Diamonds', '2 of Diamonds']",3,21,King of Hearts,"['4 of Spades', '10 of Hearts']",2,24,True
Jack of Diamonds,"['Jack of Diamonds', '2 of Hearts', '9 of Spades', '7 of Spades', 'Ace of Clubs', '6 of Clubs', '4 of Hearts', 'Queen of Diamonds', '6 of Hearts', '8 of Diamonds', '2 of Diamonds', 'King of Diamonds']",5,21,King of Hearts,"['4 of Spades', '10 of Hearts']",2,24,True
Jack of Diamonds,"['Jack of Diamonds', '2 of Hearts', '9 of Spades', '7 of Spades', 'Ace of Clubs', '6 of Clubs', '4 of Hearts', 'Queen of Diamonds', '6 of Hearts', '8 of Diamonds', '2 of Diamonds', 'King of Diamonds', '3 of Clubs', 'Jack of Spades']",0,10,King of Hearts,"['4 of Spades', '10 of Hearts']",2,24,True
Jack of Diamonds,"['Jack of Diamonds', '2 of Hearts', '9 of Spades', '7 of Spades', 'Ace of Clubs', '6 of Clubs', '4 of Hearts', 'Queen of Diamonds', '6 of Hearts', '8 of Diamonds', '2 of Diamonds', 'King of Diamonds', '3 of Clubs', 'Jack of Spades']",0,16,King of Hearts,"['4 of Spades', '10 of Hearts']",2,24,True
Jack of Diamonds,"['Jack of Diamonds', '2 of Hearts', '9 of Spades', '7 of Spades', 'Ace of Clubs', '6 of Clubs', '4 of Hearts', 'Queen of Diamonds', '6 of Hearts', '8 of Diamonds', '2 of Diamonds', 'King of Diamonds', '3 of Clubs', 'Jack of Spades']",0,10,King of Hearts,"['4 of Spades', '10 of Hearts']",2,24,True
10 of Diamonds,"['10 of Diamonds', 'King of Diamonds', 'Queen of Spades', '3 of Hearts', '9 of Clubs', 'Jack of Hearts', '8 of Hearts', '5 of Diamonds', '8 of Clubs', '3 of Clubs', '5 of Clubs']",3,20,King of Hearts,['Jack of Clubs'],1,20,False
10 of Diamonds,"['10 of Diamonds', 'King of Diamonds', 'Queen of Spades', '3 of Hearts', '9 of Clubs', 'Jack of Hearts', '8 of Hearts', '5 of Diamonds', '8 of Clubs', '3 of Clubs', '5 of Clubs']",6,22,King of Hearts,['Jack of Clubs'],1,20,False
10 of Diamonds,"['10 of Diamonds', 'King of Diamonds', 'Queen of Spades', '3 of Hearts', '9 of Clubs', 'Jack of Hearts', '8 of Hearts', '5 of Diamonds', '8 of Clubs', '3 of Clubs', '5 of Clubs', 'Queen of Diamonds']",0,18,King of Hearts,['Jack of Clubs'],1,20,False
10 of Diamonds,"['10 of Diamonds', 'King of Diamonds', 'Queen of Spades', '3 of Hearts', '9 of Clubs', 'Jack of Hearts', '8 of Hearts', '5 of Diamonds', '8 of Clubs', '3 of Clubs', '5 of Clubs', 'Queen of Diamonds']",0,13,King of Hearts,['Jack of Clubs'],1,20,False
10 of Diamonds,"['10 of Diamonds', 'King of Diamonds', 'Queen of Spades', '3 of Hearts', '9 of Clubs', 'Jack of Hearts', '8 of Hearts', '5 of Diamonds', '8 of Clubs', '3 of Clubs', '5 of Clubs', 'Queen of Diamonds']",0,8,King of Hearts,['Jack of Clubs'],1,20,False
Queen of Spades,"['Queen of Spades', 'Queen of Diamonds', '2 of Diamonds', '2 of Clubs', '9 of Diamonds', 'Jack of Spades', '3 of Diamonds', '6 of Clubs', 'Ace of Hearts', '3 of Hearts', '4 of Hearts']",4,22,2 of Spades,"['4 of Diamonds', '8 of Hearts']",2,22,False
Queen of Spades,"['Queen of Spades', 'Queen of Diamonds', '2 of Diamonds', '2 of Clubs', '9 of Diamonds', 'Jack of Spades', '3 of Diamonds', '6 of Clubs', 'Ace of Hearts', '3 of Hearts', '4 of Hearts', 'Queen of Hearts']",7,17,2 of Spades,"['4 of Diamonds', '8 of Hearts']",2,22,True
Queen of Spades,"['Queen of Spades', 'Queen of Diamonds', '2 of Diamonds', '2 of Clubs', '9 of Diamonds', 'Jack of Spades', '3 of Diamonds', '6 of Clubs', 'Ace of Hearts', '3 of Hearts', '4 of Hearts', 'Queen of Hearts', '6 of Diamonds']",0,13,2 of Spades,"['4 of Diamonds', '8 of Hearts']",2,22,True
Queen of Spades,"['Queen of Spades', 'Queen of Diamonds', '2 of Diamonds', '2 of Clubs', '9 of Diamonds', 'Jack of Spades', '3 of Diamonds', '6 of Clubs', 'Ace of Hearts', '3 of Hearts', '4 of Hearts', 'Queen of Hearts', '6 of Diamonds']",0,7,2 of Spades,"['4 of Diamonds', '8 of Hearts']",2,22,True
Queen of Spades,"['Queen of Spades', 'Queen of Diamonds', '2 of Diamonds', '2 of Clubs', '9 of Diamonds', 'Jack of Spades', '3 of Diamonds', '6 of Clubs', 'Ace of Hearts', '3 of Hearts', '4 of Hearts', 'Queen of Hearts', '6 of Diamonds']",0,7,2 of Spades,"['4 of Diamonds', '8 of Hearts']",2,22,True
9 of Spades,"['9 of Spades', '6 of Hearts', '7 of Hearts', 'Jack of Clubs', '2 of Spades', 'Queen of Hearts', '9 of Hearts', '5 of Spades', 'Ace of Hearts', 'Queen of Spades', '3 of Clubs']",5,23,2 of Diamonds,"['5 of Diamonds', '10 of Diamonds']",2,24,False
9 of Spades,"['9 of Spades', '6 of Hearts', '7 of Hearts', 'Jack of Clubs', '2 of Spades', 'Queen of Hearts', '9 of Hearts', '5 of Spades', 'Ace of Hearts', 'Queen of Spades', '3 of Clubs', 'Jack of Hearts']",8,21,2 of Diamonds,"['5 of Diamonds', '10 of Diamonds']",2,24,True
9 of Spades,"['9 of Spades', '6 of Hearts', '7 of Hearts', 'Jack of Clubs', '2 of Spades', 'Queen of Hearts', '9 of Hearts', '5 of Spades', 'Ace of Hearts', 'Queen of Spades', '3 of Clubs', 'Jack of Hearts', '9 of Diamonds']",0,19,2 of Diamonds,"['5 of Diamonds', '10 of Diamonds']",2,24,True
9 of Spades,"['9 of Spades', '6 of Hearts', '7 of Hearts', 'Jack of Clubs', '2 of Spades', 'Queen of Hearts', '9 of Hearts', '5 of Spades', 'Ace of Hearts', 'Queen of Spades', '3 of Clubs', 'Jack of Hearts', '9 of Diamonds']",0,6,2 of Diamonds,"['5 of Diamonds', '10 of Diamonds']",2,24,True
9 of Spades,"['9 of Spades', '6 of Hearts', '7 of Hearts', 'Jack of Clubs', '2 of Spades', 'Queen of Hearts', '9 of Hearts', '5 of Spades', 'Ace of Hearts', 'Queen of Spades', '3 of Clubs', 'Jack of Hearts', '9 of Diamonds']",0,13,2 of Diamonds,"['5 of Diamonds', '10 of Diamonds']",2,24,True
4 of Spades,"['4 of Spades', '6 of Spades', 'King of Clubs', '9 of Diamonds', '8 of Clubs', '3 of Hearts', 'Jack of Diamonds', '4 of Diamonds', '2 of Clubs', '2 of Diamonds', 'King of Spades']",6,19,4 of Clubs,"['3 of Spades', '6 of Clubs', '5 of Spades']",3,18,True
4 of Spades,"['4 of Spades', '6 of Spades', 'King of Clubs', '9 of Diamonds', '8 of Clubs', '3 of Hearts', 'Jack of Diamonds', '4 of Diamonds', '2 of Clubs', '2 of Diamonds', 'King of Spades', '3 of Diamonds']",8,17,4 of Clubs,"['3 of Spades', '6 of Clubs', '5 of Spades']",3,18,False
