Dealer Up,Drawn Cards,Num of Hits,Your End Total,Dealer's Face Down,Dealer Drawn Cards,Dealer Num Hits,Dealer End Total,Did YOU Win
2 of Spades,"['2 of Spades', '5 of Spades', '6 of Spades', '3 of Spades', 'Queen of Clubs', '8 of Spades', 'Queen of Hearts', '10 of Diamonds', '2 of Hearts', '2 of Clubs', '9 of Spades']",1,19,Jack of Spades,"['Jack of Hearts', '7 of Clubs']",2,19,False
2 of Spades,"['2 of Spades', '5 of Spades', '6 of Spades', '3 of Spades', 'Queen of Clubs', '8 of Spades', 'Queen of Hearts', '10 of Diamonds', '2 of Hearts', '2 of Clubs', '9 of Spades', '8 of Hearts']",0,13,Jack of Spades,"['Jack of Hearts', '7 of Clubs']",2,19,False
2 of Spades,"['2 of Spades', '5 of Spades', '6 of Spades', '3 of Spades', 'Queen of Clubs', '8 of Spades', 'Queen of Hearts', '10 of Diamonds', '2 of Hearts', '2 of Clubs', '9 of Spades', '8 of Hearts']",0,18,Jack of Spades,"['Jack of Hearts', '7 of Clubs']",2,19,False
2 of Spades,"['2 of Spades', '5 of Spades', '6 of Spades', '3 of Spades', 'Queen of Clubs', '8 of Spades', 'Queen of Hearts', '10 of Diamonds', '2 of Hearts', '2 of Clubs', '9 of Spades', '8 of Hearts']",0,12,Jack of Spades,"['Jack of Hearts', '7 of Clubs']",2,19,False
2 of Spades,"['2 of Spades', '5 of Spades', '6 of Spades', '3 of Spades', 'Queen of Clubs', '8 of Spades', 'Queen of Hearts', '10 of Diamonds', '2 of Hearts', '2 of Clubs', '9 of Spades', '8 of Hearts']",0,11,Jack of Spades,"['Jack of Hearts', '7 of Clubs']",2,19,False
2 of Diamonds,"['2 of Diamonds', '4 of Diamonds', '5 of Spades', '3 of Spades', 'Queen of Hearts', '8 of Spades', 'Queen of Spades', 'King of Clubs', '9 of Diamonds', '6 of Hearts', 'Jack of Diamonds']",2,19,3 of Hearts,"['King of Spades', 'Ace of Clubs', 'Jack of Spades']",3,23,True
2 of Diamonds,"['2 of Diamonds', '4 of Diamonds', '5 of Spades', '3 of Spades', 'Queen of Hearts', '8 of Spades', 'Queen of Spades', 'King of Clubs', '9 of Diamonds', '6 of Hearts', 'Jack of Diamonds', 'King of Diamonds']",0,13,3 of Hearts,"['King of Spades', 'Ace of Clubs', 'Jack of Spades']",3,23,True
2 of Diamonds,"['2 of Diamonds', '4 of Diamonds', '5 of Spades', '3 of Spades', 'Queen of Hearts', '8 of Spades', 'Queen of Spades', 'King of Clubs', '9 of Diamonds', '6 of Hearts', 'Jack of Diamonds', 'King of Diamonds']",0,18,3 of Hearts,"['King of Spades', 'Ace of Clubs', 'Jack of Spades']",3,23,True
2 of Diamonds,"['2 of Diamonds', '4 of Diamonds', '5 of Spades', '3 of Spades', 'Queen of Hearts', '8 of Spades', 'Queen of Spades', 'King of Clubs', '9 of Diamonds', '6 of Hearts', 'Jack of Diamonds', 'King of Diamonds']",0,19,3 of Hearts,"['King of Spades', 'Ace of Clubs', 'Jack of Spades']",3,23,True
2 of Diamonds,"['2 of Diamonds', '4 of Diamonds', '5 of Spades', '3 of Spades', 'Queen of Hearts', '8 of Spades', 'Queen of Spades', 'King of Clubs', '9 of Diamonds', '6 of Hearts', 'Jack of Diamonds', 'King of Diamonds']",0,16,3 of Hearts,"['King of Spades', 'Ace of Clubs', 'Jack of Spades']",3,23,True
