Dealer Up,Drawn Cards,Num of Hits,Your End Total,Dealer's Face Down,Dealer Drawn Cards,Dealer Num Hits,Dealer End Total,Did YOU Win
King of Diamonds,"['King of Diamonds', 'King of Clubs', '9 of Spades', '3 of Hearts', 'Ace of Spades', '9 of Clubs', 'King of Spades', '3 of Clubs', '5 of Diamonds', 'Jack of Diamonds', 'Jack of Clubs']",0,19,3 of Diamonds,['9 of Diamonds'],1,19,False
King of Diamonds,"['King of Diamonds', 'King of Clubs', '9 of Spades', '3 of Hearts', 'Ace of Spades', '9 of Clubs', 'King of Spades', '3 of Clubs', '5 of Diamonds', 'Jack of Diamonds', 'Jack of Clubs']",3,19,3 of Diamonds,['9 of Diamonds'],1,19,False
King of Diamonds,"['King of Diamonds', 'King of Clubs', '9 of Spades', '3 of Hearts', 'Ace of Spades', '9 of Clubs', 'King of Spades', '3 of Clubs', '5 of Diamonds', 'Jack of Diamonds', 'Jack of Clubs', 'Ace of Clubs', '4 of Hearts', '10 of Diamonds']",0,19,3 of Diamonds,['9 of Diamonds'],1,19,False
King of Diamonds,"['King of Diamonds', 'King of Clubs', '9 of Spades', '3 of Hearts', 'Ace of Spades', '9 of Clubs', 'King of Spades', '3 of Clubs', '5 of Diamonds', 'Jack of Diamonds', 'Jack of Clubs', 'Ace of Clubs', '4 of Hearts', '10 of Diamonds']",3,20,3 of Diamonds,['9 of Diamonds'],1,19,True
King of Diamonds,"['King of Diamonds', 'King of Clubs', '9 of Spades', '3 of Hearts', 'Ace of Spades', '9 of Clubs', 'King of Spades', '3 of Clubs', '5 of Diamonds', 'Jack of Diamonds', 'Jack of Clubs', 'Ace of Clubs', '4 of Hearts', '10 of Diamonds', '2 of Spades', '4 of Diamonds', '6 of Clubs']",0,10,3 of Diamonds,['9 of Diamonds'],1,19,False
5 of Diamonds,"['5 of Diamonds', 'Queen of Spades', '5 of Spades', '9 of Clubs', '2 of Diamonds', '7 of Spades', '9 of Hearts', '2 of Spades', '10 of Diamonds', 'King of Spades', 'Queen of Hearts']",1,25,6 of Diamonds,"['King of Diamonds', '3 of Clubs']",2,18,False
5 of Diamonds,"['5 of Diamonds', 'Queen of Spades', '5 of Spades', '9 of Clubs', '2 of Diamonds', '7 of Spades', '9 of Hearts', '2 of Spades', '10 of Diamonds', 'King of Spades', 'Queen of Hearts', '10 of Clubs']",4,12,6 of Diamonds,"['King of Diamonds', '3 of Clubs']",2,18,False
5 of Diamonds,"['5 of Diamonds', 'Queen of Spades', '5 of Spades', '9 of Clubs', '2 of Diamonds', '7 of Spades', '9 of Hearts', '2 of Spades', '10 of Diamonds', 'King of Spades', 'Queen of Hearts', '10 of Clubs', 'Ace of Diamonds']",0,16,6 of Diamonds,"['King of Diamonds', '3 of Clubs']",2,18,False
5 of Diamonds,"['5 of Diamonds', 'Queen of Spades', '5 of Spades', '9 of Clubs', '2 of Diamonds', '7 of Spades', '9 of Hearts', '2 of Spades', '10 of Diamonds', 'King of Spades', 'Queen of Hearts', '10 of Clubs', 'Ace of Diamonds']",4,22,6 of Diamonds,"['King of Diamonds', '3 of Clubs']",2,18,False
5 of Diamonds,"['5 of Diamonds', 'Queen of Spades', '5 of Spades', '9 of Clubs', '2 of Diamonds', '7 of Spades', '9 of Hearts', '2 of Spades', '10 of Diamonds', 'King of Spades', 'Queen of Hearts', '10 of Clubs', 'Ace of Diamonds', '10 of Hearts']",0,20,6 of Diamonds,"['King of Diamonds', '3 of Clubs']",2,18,True
4 of Diamonds,"['4 of Diamonds', '4 of Hearts', '9 of Clubs', '9 of Hearts', '3 of Hearts', '7 of Spades', '7 of Diamonds', '5 of Hearts', 'Queen of Diamonds', 'King of Clubs', '7 of Clubs']",3,17,Jack of Hearts,"['8 of Diamonds', 'King of Spades']",2,22,True
4 of Diamonds,"['4 of Diamonds', '4 of Hearts', '9 of Clubs', '9 of Hearts', '3 of Hearts', '7 of Spades', '7 of Diamonds', '5 of Hearts', 'Queen of Diamonds', 'King of Clubs', '7 of Clubs', 'Ace of Diamonds', '3 of Diamonds']",4,12,Jack of Hearts,"['8 of Diamonds', 'King of Spades']",2,22,True
