Dealer Up,Drawn Cards,Num of Hits,Your End Total,Dealer's Face Down,Dealer Drawn Cards,Dealer Num Hits,Dealer End Total,Did YOU Win
3 of Spades,"['3 of Spades', '6 of Hearts', 'Ace of Clubs', '8 of Diamonds', '6 of Spades', '2 of Diamonds', 'Queen of Diamonds', '4 of Hearts', 'Ace of Diamonds', '9 of Hearts', '4 of Spades']",1,17,5 of Clubs,"['4 of Diamonds', '7 of Hearts', '10 of Clubs']",3,24,True
3 of Spades,"['3 of Spades', '6 of Hearts', 'Ace of Clubs', '8 of Diamonds', '6 of Spades', '2 of Diamonds', 'Queen of Diamonds', '4 of Hearts', 'Ace of Diamonds', '9 of Hearts', '4 of Spades', '10 of Spades']",0,14,5 of Clubs,"['4 of Diamonds', '7 of Hearts', '10 of Clubs']",3,24,True
3 of Spades,"['3 of Spades', '6 of Hearts', 'Ace of Clubs', '8 of Diamonds', '6 of Spades', '2 of Diamonds', 'Queen of Diamonds', '4 of Hearts', 'Ace of Diamonds', '9 of Hearts', '4 of Spades', '10 of Spades']",0,12,5 of Clubs,"['4 of Diamonds', '7 of Hearts', '10 of Clubs']",3,24,True
3 of Spades,"['3 of Spades', '6 of Hearts', 'Ace of Clubs', '8 of Diamonds', '6 of Spades', '2 of Diamonds', 'Queen of Diamonds', '4 of Hearts', 'Ace of Diamonds', '9 of Hearts', '4 of Spades', '10 of Spades']",0,5,5 of Clubs,"['4 of Diamonds', '7 of Hearts', '10 of Clubs']",3,24,True
3 of Spades,"['3 of Spades', '6 of Hearts', 'Ace of Clubs', '8 of Diamonds', '6 of Spades', '2 of Diamonds', 'Queen of Diamonds', '4 of Hearts', 'Ace of Diamonds', '9 of Hearts', '4 of Spades', '10 of Spades']",0,13,5 of Clubs,"['4 of Diamonds', '7 of Hearts', '10 of Clubs']",3,24,True
King of Hearts,"['King of Hearts', 'Jack of Clubs', '5 of Clubs', '5 of Diamonds', '5 of Spades', '8 of Clubs', '8 of Hearts', '10 of Spades', '4 of Spades', '2 of Diamonds', '10 of Diamonds']",3,17,6 of Spades,"['3 of Clubs', 'King of Spades']",2,23,True
King of Hearts,"['King of Hearts', 'Jack of Clubs', '5 of Clubs', '5 of Diamonds', '5 of Spades', '8 of Clubs', '8 of Hearts', '10 of Spades', '4 of Spades', '2 of Diamonds', '10 of Diamonds', 'Ace of Clubs', 'Ace of Spades']",5,17,6 of Spades,"['3 of Clubs', 'King of Spades']",2,23,True
King of Hearts,"['King of Hearts', 'Jack of Clubs', '5 of Clubs', '5 of Diamonds', '5 of Spades', '8 of Clubs', '8 of Hearts', '10 of Spades', '4 of Spades', '2 of Diamonds', '10 of Diamonds', 'Ace of Clubs', 'Ace of Spades', 'Jack of Spades', 'Ace of Diamonds', 'Ace of Hearts', 'Jack of Diamonds', '4 of Diamonds']",0,8,6 of Spades,"['3 of Clubs', 'King of Spades']",2,23,True
King of Hearts,"['King of Hearts', 'Jack of Clubs', '5 of Clubs', '5 of Diamonds', '5 of Spades', '8 of Clubs', '8 of Hearts', '10 of Spades', '4 of Spades', '2 of Diamonds', '10 of Diamonds', 'Ace of Clubs', 'Ace of Spades', 'Jack of Spades', 'Ace of Diamonds', 'Ace of Hearts', 'Jack of Diamonds', '4 of Diamonds']",1,23,6 of Spades,"['3 of Clubs', 'King of Spades']",2,23,False
King of Hearts,"['King of Hearts', 'Jack of Clubs', '5 of Clubs', '5 of Diamonds', '5 of Spades', '8 of Clubs', '8 of Hearts', '10 of Spades', '4 of Spades', '2 of Diamonds', '10 of Diamonds', 'Ace of Clubs', 'Ace of Spades', 'Jack of Spades', 'Ace of Diamonds', 'Ace of Hearts', 'Jack of Diamonds', '4 of Diamonds', '9 of Diamonds']",0,12,6 of Spades,"['3 of Clubs', 'King of Spades']",2,23,True
Jack of Spades,"['Jack of Spades', 'King of Spades', '6 of Hearts', '6 of Spades', '3 of Clubs', 'Ace of Hearts', '7 of Spades', 'Ace of Clubs', '8 of Hearts', 'Queen of Hearts', '4 of Clubs']",4,25,3 of Hearts,['9 of Hearts'],1,19,False
Jack of Spades,"['Jack of Spades', 'King of Spades', '6 of Hearts', '6 of Spades', '3 of Clubs', 'Ace of Hearts', '7 of Spades', 'Ace of Clubs', '8 of Hearts', 'Queen of Hearts', '4 of Clubs', '9 of Clubs']",7,21,3 of Hearts,['9 of Hearts'],1,19,True
Jack of Spades,"['Jack of Spades', 'King of Spades', '6 of Hearts', '6 of Spades', '3 of Clubs', 'Ace of Hearts', '7 of Spades', 'Ace of Clubs', '8 of Hearts', 'Queen of Hearts', '4 of Clubs', '9 of Clubs', '5 of Hearts', '7 of Clubs']",0,8,3 of Hearts,['9 of Hearts'],1,19,False
Jack of Spades,"['Jack of Spades', 'King of Spades', '6 of Hearts', '6 of Spades', '3 of Clubs', 'Ace of Hearts', '7 of Spades', 'Ace of Clubs', '8 of Hearts', 'Queen of Hearts', '4 of Clubs', '9 of Clubs', '5 of Hearts', '7 of Clubs']",2,15,3 of Hearts,['9 of Hearts'],1,19,False
Jack of Spades,"['Jack of Spades', 'King of Spades', '6 of Hearts', '6 of Spades', '3 of Clubs', 'Ace of Hearts', '7 of Spades', 'Ace of Clubs', '8 of Hearts', 'Queen of Hearts', '4 of Clubs', '9 of Clubs', '5 of Hearts', '7 of Clubs', '6 of Diamonds']",0,14,3 of Hearts,['9 of Hearts'],1,19,False
8 of Hearts,"['8 of Hearts', '5 of Diamonds', 'King of Spades', '6 of Clubs', '2 of Hearts', '10 of Spades', '10 of Diamonds', '4 of Clubs', '6 of Spades', 'Jack of Clubs', 'King of Clubs']",6,19,5 of Clubs,"['4 of Spades', '8 of Clubs']",2,20,False
8 of Hearts,"['8 of Hearts', '5 of Diamonds', 'King of Spades', '6 of Clubs', '2 of Hearts', '10 of Spades', '10 of Diamonds', '4 of Clubs', '6 of Spades', 'Jack of Clubs', 'King of Clubs', 'Ace of Hearts', '3 of Clubs']",9,25,5 of Clubs,"['4 of Spades', '8 of Clubs']",2,20,False
8 of Hearts,"['8 of Hearts', '5 of Diamonds', 'King of Spades', '6 of Clubs', '2 of Hearts', '10 of Spades', '10 of Diamonds', '4 of Clubs', '6 of Spades', 'Jack of Clubs', 'King of Clubs', 'Ace of Hearts', '3 of Clubs', '7 of Clubs', 'Queen of Diamonds']",0,10,5 of Clubs,"['4 of Spades', '8 of Clubs']",2,20,False
8 of Hearts,"['8 of Hearts', '5 of Diamonds', 'King of Spades', '6 of Clubs', '2 of Hearts', '10 of Spades', '10 of Diamonds', '4 of Clubs', '6 of Spades', 'Jack of Clubs', 'King of Clubs', 'Ace of Hearts', '3 of Clubs', '7 of Clubs', 'Queen of Diamonds']",3,20,5 of Clubs,"['4 of Spades', '8 of Clubs']",2,20,False
8 of Hearts,"['8 of Hearts', '5 of Diamonds', 'King of Spades', '6 of Clubs', '2 of Hearts', '10 of Spades', '10 of Diamonds', '4 of Clubs', '6 of Spades', 'Jack of Clubs', 'King of Clubs', 'Ace of Hearts', '3 of Clubs', '7 of Clubs', 'Queen of Diamonds', 'Jack of Spades']",0,20,5 of Clubs,"['4 of Spades', '8 of Clubs']",2,20,False
7 of Spades,"['7 of Spades', 'Queen of Spades', 'Jack of Diamonds', 'Jack of Clubs', 'King of Clubs', 'Queen of Diamonds', '5 of Hearts', '9 of Spades', '8 of Hearts', '10 of Spades', '6 of Hearts']",6,20,Queen of Clubs,"['5 of Diamonds', '8 of Spades']",2,20,False
7 of Spades,"['7 of Spades', 'Queen of Spades', 'Jack of Diamonds', 'Jack of Clubs', 'King of Clubs', 'Queen of Diamonds', '5 of Hearts', '9 of Spades', '8 of Hearts', '10 of Spades', '6 of Hearts']",9,20,Queen of Clubs,"['5 of Diamonds', '8 of Spades']",2,20,False
7 of Spades,"['7 of Spades', 'Queen of Spades', 'Jack of Diamonds', 'Jack of Clubs', 'King of Clubs', 'Queen of Diamonds', '5 of Hearts', '9 of Spades', '8 of Hearts', '10 of Spades', '6 of Hearts']",0,15,Queen of Clubs,"['5 of Diamonds', '8 of Spades']",2,20,False
7 of Spades,"['7 of Spades', 'Queen of Spades', 'Jack of Diamonds', 'Jack of Clubs', 'King of Clubs', 'Queen of Diamonds', '5 of Hearts', '9 of Spades', '8 of Hearts', '10 of Spades', '6 of Hearts']",3,17,Queen of Clubs,"['5 of Diamonds', '8 of Spades']",2,20,False
7 of Spades,"['7 of Spades', 'Queen of Spades', 'Jack of Diamonds', 'Jack of Clubs', 'King of Clubs', 'Queen of Diamonds', '5 of Hearts', '9 of Spades', '8 of Hearts', '10 of Spades', '6 of Hearts']",0,16,Queen of Clubs,"['5 of Diamonds', '8 of Spades']",2,20,False
Ace of Hearts,"['Ace of Hearts', '4 of Clubs', 'Ace of Diamonds', 'King of Diamonds', '4 of Hearts', '5 of Spades', '4 of Spades', 'Ace of Clubs', '9 of Hearts', 'Queen of Hearts', '8 of Hearts']",8,25,6 of Diamonds,"['9 of Spades', '5 of Clubs', '10 of Clubs']",3,25,False
Ace of Hearts,"['Ace of Hearts', '4 of Clubs', 'Ace of Diamonds', 'King of Diamonds', '4 of Hearts', '5 of Spades', '4 of Spades', 'Ace of Clubs', '9 of Hearts', 'Queen of Hearts', '8 of Hearts', 'King of Hearts', '10 of Diamonds']",10,21,6 of Diamonds,"['9 of Spades', '5 of Clubs', '10 of Clubs']",3,25,True
Ace of Hearts,"['Ace of Hearts', '4 of Clubs', 'Ace of Diamonds', 'King of Diamonds', '4 of Hearts', '5 of Spades', '4 of Spades', 'Ace of Clubs', '9 of Hearts', 'Queen of Hearts', '8 of Hearts', 'King of Hearts', '10 of Diamonds', '7 of Spades']",0,9,6 of Diamonds,"['9 of Spades', '5 of Clubs', '10 of Clubs']",3,25,True
Ace of Hearts,"['Ace of Hearts', '4 of Clubs', 'Ace of Diamonds', 'King of Diamonds', '4 of Hearts', '5 of Spades', '4 of Spades', 'Ace of Clubs', '9 of Hearts', 'Queen of Hearts', '8 of Hearts', 'King of Hearts', '10 of Diamonds', '7 of Spades']",4,19,6 of Diamonds,"['9 of Spades', '5 of Clubs', '10 of Clubs']",3,25,True
Ace of Hearts,"['Ace of Hearts', '4 of Clubs', 'Ace of Diamonds', 'King of Diamonds', '4 of Hearts', '5 of Spades', '4 of Spades', 'Ace of Clubs', '9 of Hearts', 'Queen of Hearts', '8 of Hearts', 'King of Hearts', '10 of Diamonds', '7 of Spades', '9 of Clubs']",0,18,6 of Diamonds,"['9 of Spades', '5 of Clubs', '10 of Clubs']",3,25,True
