Dealer Up,Drawn Cards,Num of Hits,Your End Total,Dealer's Face Down,Dealer Drawn Cards,Dealer Num Hits,Dealer End Total,Did YOU Win
9 of Diamonds,"['9 of Diamonds', '8 of Spades', '5 of Clubs', '9 of Clubs', '5 of Diamonds', '6 of Spades', 'Queen of Spades', '7 of Diamonds', '7 of Spades', '2 of Spades', '4 of Clubs']",2,23,3 of Hearts,['King of Hearts'],1,19,False
9 of Diamonds,"['9 of Diamonds', '8 of Spades', '5 of Clubs', '9 of Clubs', '5 of Diamonds', '6 of Spades', 'Queen of Spades', '7 of Diamonds', '7 of Spades', '2 of Spades', '4 of Clubs', 'Ace of Clubs', '9 of Hearts']",1,24,3 of Hearts,['King of Hearts'],1,19,False
9 of Diamonds,"['9 of Diamonds', '8 of Spades', '5 of Clubs', '9 of Clubs', '5 of Diamonds', '6 of Spades', 'Queen of Spades', '7 of Diamonds', '7 of Spades', '2 of Spades', '4 of Clubs', 'Ace of Clubs', '9 of Hearts', 'King of Clubs']",0,16,3 of Hearts,['King of Hearts'],1,19,False
9 of Diamonds,"['9 of Diamonds', '8 of Spades', '5 of Clubs', '9 of Clubs', '5 of Diamonds', '6 of Spades', 'Queen of Spades', '7 of Diamonds', '7 of Spades', '2 of Spades', '4 of Clubs', 'Ace of Clubs', '9 of Hearts', 'King of Clubs']",1,10,3 of Hearts,['King of Hearts'],1,19,False
9 of Diamonds,"['9 of Diamonds', '8 of Spades', '5 of Clubs', '9 of Clubs', '5 of Diamonds', '6 of Spades', 'Queen of Spades', '7 of Diamonds', '7 of Spades', '2 of Spades', '4 of Clubs', 'Ace of Clubs', '9 of Hearts', 'King of Clubs', '3 of Spades']",0,6,3 of Hearts,['King of Hearts'],1,19,False
5 of Spades,"['5 of Spades', 'King of Hearts', '3 of Clubs', '3 of Diamonds', '6 of Clubs', '5 of Hearts', '8 of Diamonds', '8 of Spades', 'Queen of Diamonds', '5 of Clubs', '4 of Hearts']",3,23,10 of Hearts,"['King of Spades', '9 of Spades']",2,24,False
5 of Spades,"['5 of Spades', 'King of Hearts', '3 of Clubs', '3 of Diamonds', '6 of Clubs', '5 of Hearts', '8 of Diamonds', '8 of Spades', 'Queen of Diamonds', '5 of Clubs', '4 of Hearts', 'Queen of Hearts']",2,13,10 of Hearts,"['King of Spades', '9 of Spades']",2,24,True
5 of Spades,"['5 of Spades', 'King of Hearts', '3 of Clubs', '3 of Diamonds', '6 of Clubs', '5 of Hearts', '8 of Diamonds', '8 of Spades', 'Queen of Diamonds', '5 of Clubs', '4 of Hearts', 'Queen of Hearts', '4 of Clubs']",0,13,10 of Hearts,"['King of Spades', '9 of Spades']",2,24,True
5 of Spades,"['5 of Spades', 'King of Hearts', '3 of Clubs', '3 of Diamonds', '6 of Clubs', '5 of Hearts', '8 of Diamonds', '8 of Spades', 'Queen of Diamonds', '5 of Clubs', '4 of Hearts', 'Queen of Hearts', '4 of Clubs']",1,18,10 of Hearts,"['King of Spades', '9 of Spades']",2,24,True
5 of Spades,"['5 of Spades', 'King of Hearts', '3 of Clubs', '3 of Diamonds', '6 of Clubs', '5 of Hearts', '8 of Diamonds', '8 of Spades', 'Queen of Diamonds', '5 of Clubs', '4 of Hearts', 'Queen of Hearts', '4 of Clubs']",0,9,10 of Hearts,"['King of Spades', '9 of Spades']",2,24,True
Queen of Clubs,"['Queen of Clubs', 'Jack of Clubs', '8 of Diamonds', 'Ace of Hearts', '6 of Hearts', '2 of Hearts', '2 of Diamonds', '5 of Spades', '8 of Hearts', 'King of Hearts', '9 of Clubs']",3,18,7 of Hearts,['7 of Diamonds'],1,17,True
Queen of Clubs,"['Queen of Clubs', 'Jack of Clubs', '8 of Diamonds', 'Ace of Hearts', '6 of Hearts', '2 of Hearts', '2 of Diamonds', '5 of Spades', '8 of Hearts', 'King of Hearts', '9 of Clubs']",5,17,7 of Hearts,['7 of Diamonds'],1,17,False
