Dealer Up,Drawn Cards,Num of Hits,Your End Total,Dealer's Face Down,Dealer Drawn Cards,Dealer Num Hits,Dealer End Total,Did YOU Win
4 of Diamonds,"['4 of Diamonds', '5 of Hearts', '7 of Hearts', 'Ace of Clubs', '4 of Clubs', '9 of Hearts', '2 of Diamonds', 'Queen of Diamonds', 'King of Diamonds', '5 of Clubs', '10 of Diamonds']",2,26,Jack of Diamonds,"['9 of Clubs', '3 of Hearts', '3 of Diamonds']",3,19,False
4 of Diamonds,"['4 of Diamonds', '5 of Hearts', '7 of Hearts', 'Ace of Clubs', '4 of Clubs', '9 of Hearts', '2 of Diamonds', 'Queen of Diamonds', 'King of Diamonds', '5 of Clubs', '10 of Diamonds', '4 of Hearts', 'King of Clubs']",2,17,Jack of Diamonds,"['9 of Clubs', '3 of Hearts', '3 of Diamonds']",3,19,False
4 of Diamonds,"['4 of Diamonds', '5 of Hearts', '7 of Hearts', 'Ace of Clubs', '4 of Clubs', '9 of Hearts', '2 of Diamonds', 'Queen of Diamonds', 'King of Diamonds', '5 of Clubs', '10 of Diamonds', '4 of Hearts', 'King of Clubs', '2 of Clubs', 'Queen of Spades']",0,11,Jack of Diamonds,"['9 of Clubs', '3 of Hearts', '3 of Diamonds']",3,19,False
4 of Diamonds,"['4 of Diamonds', '5 of Hearts', '7 of Hearts', 'Ace of Clubs', '4 of Clubs', '9 of Hearts', '2 of Diamonds', 'Queen of Diamonds', 'King of Diamonds', '5 of Clubs', '10 of Diamonds', '4 of Hearts', 'King of Clubs', '2 of Clubs', 'Queen of Spades']",0,20,Jack of Diamonds,"['9 of Clubs', '3 of Hearts', '3 of Diamonds']",3,19,True
4 of Diamonds,"['4 of Diamonds', '5 of Hearts', '7 of Hearts', 'Ace of Clubs', '4 of Clubs', '9 of Hearts', '2 of Diamonds', 'Queen of Diamonds', 'King of Diamonds', '5 of Clubs', '10 of Diamonds', '4 of Hearts', 'King of Clubs', '2 of Clubs', 'Queen of Spades']",0,15,Jack of Diamonds,"['9 of Clubs', '3 of Hearts', '3 of Diamonds']",3,19,False
4 of Clubs,"['4 of Clubs', 'Queen of Spades', 'King of Clubs', '9 of Hearts', '8 of Spades', '3 of Spades', '9 of Clubs', '7 of Hearts', 'Ace of Spades', '6 of Spades', '5 of Clubs']",2,20,2 of Diamonds,"['6 of Clubs', '5 of Hearts', '10 of Spades']",3,25,True
4 of Clubs,"['4 of Clubs', 'Queen of Spades', 'King of Clubs', '9 of Hearts', '8 of Spades', '3 of Spades', '9 of Clubs', '7 of Hearts', 'Ace of Spades', '6 of Spades', '5 of Clubs']",2,17,2 of Diamonds,"['6 of Clubs', '5 of Hearts', '10 of Spades']",3,25,True
4 of Clubs,"['4 of Clubs', 'Queen of Spades', 'King of Clubs', '9 of Hearts', '8 of Spades', '3 of Spades', '9 of Clubs', '7 of Hearts', 'Ace of Spades', '6 of Spades', '5 of Clubs']",0,12,2 of Diamonds,"['6 of Clubs', '5 of Hearts', '10 of Spades']",3,25,True
4 of Clubs,"['4 of Clubs', 'Queen of Spades', 'King of Clubs', '9 of Hearts', '8 of Spades', '3 of Spades', '9 of Clubs', '7 of Hearts', 'Ace of Spades', '6 of Spades', '5 of Clubs']",0,8,2 of Diamonds,"['6 of Clubs', '5 of Hearts', '10 of Spades']",3,25,True
4 of Clubs,"['4 of Clubs', 'Queen of Spades', 'King of Clubs', '9 of Hearts', '8 of Spades', '3 of Spades', '9 of Clubs', '7 of Hearts', 'Ace of Spades', '6 of Spades', '5 of Clubs']",0,11,2 of Diamonds,"['6 of Clubs', '5 of Hearts', '10 of Spades']",3,25,True
8 of Spades,"['8 of Spades', 'Jack of Spades', '7 of Clubs', '5 of Hearts', '7 of Hearts', '3 of Diamonds', 'Jack of Clubs', '8 of Clubs', '7 of Diamonds', '6 of Spades', 'Ace of Spades']",2,17,9 of Clubs,"['Ace of Hearts', 'Ace of Diamonds', '4 of Clubs', 'Jack of Hearts']",4,24,True
8 of Spades,"['8 of Spades', 'Jack of Spades', '7 of Clubs', '5 of Hearts', '7 of Hearts', '3 of Diamonds', 'Jack of Clubs', '8 of Clubs', '7 of Diamonds', '6 of Spades', 'Ace of Spades']",3,22,9 of Clubs,"['Ace of Hearts', 'Ace of Diamonds', '4 of Clubs', 'Jack of Hearts']",4,24,False
8 of Spades,"['8 of Spades', 'Jack of Spades', '7 of Clubs', '5 of Hearts', '7 of Hearts', '3 of Diamonds', 'Jack of Clubs', '8 of Clubs', '7 of Diamonds', '6 of Spades', 'Ace of Spades', '10 of Diamonds']",0,13,9 of Clubs,"['Ace of Hearts', 'Ace of Diamonds', '4 of Clubs', 'Jack of Hearts']",4,24,True
8 of Spades,"['8 of Spades', 'Jack of Spades', '7 of Clubs', '5 of Hearts', '7 of Hearts', '3 of Diamonds', 'Jack of Clubs', '8 of Clubs', '7 of Diamonds', '6 of Spades', 'Ace of Spades', '10 of Diamonds']",1,20,9 of Clubs,"['Ace of Hearts', 'Ace of Diamonds', '4 of Clubs', 'Jack of Hearts']",4,24,True
8 of Spades,"['8 of Spades', 'Jack of Spades', '7 of Clubs', '5 of Hearts', '7 of Hearts', '3 of Diamonds', 'Jack of Clubs', '8 of Clubs', '7 of Diamonds', '6 of Spades', 'Ace of Spades', '10 of Diamonds', '5 of Diamonds']",0,7,9 of Clubs,"['Ace of Hearts', 'Ace of Diamonds', '4 of Clubs', 'Jack of Hearts']",4,24,True
4 of Hearts,"['4 of Hearts', '7 of Diamonds', '4 of Clubs', '6 of Clubs', '10 of Clubs', '7 of Hearts', 'Queen of Spades', '3 of Hearts', '10 of Diamonds', 'King of Diamonds', '9 of Clubs']",3,21,Queen of Hearts,"['9 of Hearts', '8 of Diamonds']",2,21,False
4 of Hearts,"['4 of Hearts', '7 of Diamonds', '4 of Clubs', '6 of Clubs', '10 of Clubs', '7 of Hearts', 'Queen of Spades', '3 of Hearts', '10 of Diamonds', 'King of Diamonds', '9 of Clubs', '10 of Spades']",3,16,Queen of Hearts,"['9 of Hearts', '8 of Diamonds']",2,21,False
4 of Hearts,"['4 of Hearts', '7 of Diamonds', '4 of Clubs', '6 of Clubs', '10 of Clubs', '7 of Hearts', 'Queen of Spades', '3 of Hearts', '10 of Diamonds', 'King of Diamonds', '9 of Clubs', '10 of Spades']",0,17,Queen of Hearts,"['9 of Hearts', '8 of Diamonds']",2,21,False
4 of Hearts,"['4 of Hearts', '7 of Diamonds', '4 of Clubs', '6 of Clubs', '10 of Clubs', '7 of Hearts', 'Queen of Spades', '3 of Hearts', '10 of Diamonds', 'King of Diamonds', '9 of Clubs', '10 of Spades']",1,13,Queen of Hearts,"['9 of Hearts', '8 of Diamonds']",2,21,False
4 of Hearts,"['4 of Hearts', '7 of Diamonds', '4 of Clubs', '6 of Clubs', '10 of Clubs', '7 of Hearts', 'Queen of Spades', '3 of Hearts', '10 of Diamonds', 'King of Diamonds', '9 of Clubs', '10 of Spades']",0,19,Queen of Hearts,"['9 of Hearts', '8 of Diamonds']",2,21,False
Queen of Diamonds,"['Queen of Diamonds', '10 of Diamonds', '10 of Spades', '5 of Clubs', 'Ace of Hearts', 'Ace of Diamonds', '9 of Clubs', '6 of Spades', 'Jack of Spades', '7 of Spades', '6 of Hearts']",6,20,2 of Clubs,"['6 of Clubs', '2 of Hearts']",2,18,True
Queen of Diamonds,"['Queen of Diamonds', '10 of Diamonds', '10 of Spades', '5 of Clubs', 'Ace of Hearts', 'Ace of Diamonds', '9 of Clubs', '6 of Spades', 'Jack of Spades', '7 of Spades', '6 of Hearts', 'King of Hearts', '4 of Spades', '8 of Diamonds']",5,26,2 of Clubs,"['6 of Clubs', '2 of Hearts']",2,18,False
Queen of Diamonds,"['Queen of Diamonds', '10 of Diamonds', '10 of Spades', '5 of Clubs', 'Ace of Hearts', 'Ace of Diamonds', '9 of Clubs', '6 of Spades', 'Jack of Spades', '7 of Spades', '6 of Hearts', 'King of Hearts', '4 of Spades', '8 of Diamonds', '10 of Clubs', 'Jack of Diamonds']",0,10,2 of Clubs,"['6 of Clubs', '2 of Hearts']",2,18,False
Queen of Diamonds,"['Queen of Diamonds', '10 of Diamonds', '10 of Spades', '5 of Clubs', 'Ace of Hearts', 'Ace of Diamonds', '9 of Clubs', '6 of Spades', 'Jack of Spades', '7 of Spades', '6 of Hearts', 'King of Hearts', '4 of Spades', '8 of Diamonds', '10 of Clubs', 'Jack of Diamonds']",1,16,2 of Clubs,"['6 of Clubs', '2 of Hearts']",2,18,False
Queen of Diamonds,"['Queen of Diamonds', '10 of Diamonds', '10 of Spades', '5 of Clubs', 'Ace of Hearts', 'Ace of Diamonds', '9 of Clubs', '6 of Spades', 'Jack of Spades', '7 of Spades', '6 of Hearts', 'King of Hearts', '4 of Spades', '8 of Diamonds', '10 of Clubs', 'Jack of Diamonds']",0,13,2 of Clubs,"['6 of Clubs', '2 of Hearts']",2,18,False
Queen of Hearts,"['Queen of Hearts', '4 of Clubs', '2 of Spades', '10 of Diamonds', 'Queen of Clubs', '3 of Spades', '2 of Clubs', '4 of Spades', '10 of Clubs', '9 of Hearts', '6 of Spades']",8,19,5 of Diamonds,['8 of Clubs'],1,18,True
Queen of Hearts,"['Queen of Hearts', '4 of Clubs', '2 of Spades', '10 of Diamonds', 'Queen of Clubs', '3 of Spades', '2 of Clubs', '4 of Spades', '10 of Clubs', '9 of Hearts', '6 of Spades', '4 of Diamonds', '9 of Spades']",5,20,5 of Diamonds,['8 of Clubs'],1,18,True
Queen of Hearts,"['Queen of Hearts', '4 of Clubs', '2 of Spades', '10 of Diamonds', 'Queen of Clubs', '3 of Spades', '2 of Clubs', '4 of Spades', '10 of Clubs', '9 of Hearts', '6 of Spades', '4 of Diamonds', '9 of Spades']",0,5,5 of Diamonds,['8 of Clubs'],1,18,False
Queen of Hearts,"['Queen of Hearts', '4 of Clubs', '2 of Spades', '10 of Diamonds', 'Queen of Clubs', '3 of Spades', '2 of Clubs', '4 of Spades', '10 of Clubs', '9 of Hearts', '6 of Spades', '4 of Diamonds', '9 of Spades']",1,14,5 of Diamonds,['8 of Clubs'],1,18,False
Queen of Hearts,"['Queen of Hearts', '4 of Clubs', '2 of Spades', '10 of Diamonds', 'Queen of Clubs', '3 of Spades', '2 of Clubs', '4 of Spades', '10 of Clubs', '9 of Hearts', '6 of Spades', '4 of Diamonds', '9 of Spades']",0,15,5 of Diamonds,['8 of Clubs'],1,18,False
4 of Clubs,"['4 of Clubs', 'Queen of Hearts', '7 of Spades', '4 of Spades', 'Jack of Hearts', 'King of Clubs', '6 of Diamonds', 'King of Spades', '10 of Hearts', '3 of Hearts', '10 of Clubs']",8,17,7 of Hearts,"['3 of Diamonds', '6 of Clubs', 'Ace of Clubs', '2 of Spades', '8 of Clubs']",5,24,True
4 of Clubs,"['4 of Clubs', 'Queen of Hearts', '7 of Spades', '4 of Spades', 'Jack of Hearts', 'King of Clubs', '6 of Diamonds', 'King of Spades', '10 of Hearts', '3 of Hearts', '10 of Clubs']",5,14,7 of Hearts,"['3 of Diamonds', '6 of Clubs', 'Ace of Clubs', '2 of Spades', '8 of Clubs']",5,24,True
4 of Clubs,"['4 of Clubs', 'Queen of Hearts', '7 of Spades', '4 of Spades', 'Jack of Hearts', 'King of Clubs', '6 of Diamonds', 'King of Spades', '10 of Hearts', '3 of Hearts', '10 of Clubs']",0,16,7 of Hearts,"['3 of Diamonds', '6 of Clubs', 'Ace of Clubs', '2 of Spades', '8 of Clubs']",5,24,True
