Dealer Up,Drawn Cards,Num of Hits,Your End Total,Dealer's Face Down,Dealer Drawn Cards,Dealer Num Hits,Dealer End Total,Did YOU Win
8 of Diamonds,"['8 of Diamonds', '8 of Spades', '5 of Clubs', 'Ace of Hearts', 'King of Hearts', '8 of Hearts', '4 of Spades', '9 of Hearts', 'King of Diamonds', '4 of Diamonds', 'Queen of Clubs']",2,25,10 of Clubs,"[<tournament.Card object at 0x7f810aceaef0>, <tournament.Card object at 0x7f810ace92d0>]",2,18,False
8 of Diamonds,"['8 of Diamonds', '8 of Spades', '5 of Clubs', 'Ace of Hearts', 'King of Hearts', '8 of Hearts', '4 of Spades', '9 of Hearts', 'King of Diamonds', '4 of Diamonds', 'Queen of Clubs', '2 of Diamonds', 'Queen of Spades']",2,23,10 of Clubs,"[<tournament.Card object at 0x7f810aceaef0>, <tournament.Card object at 0x7f810ace92d0>]",2,18,False
8 of Diamonds,"['8 of Diamonds', '8 of Spades', '5 of Clubs', 'Ace of Hearts', 'King of Hearts', '8 of Hearts', '4 of Spades', '9 of Hearts', 'King of Diamonds', '4 of Diamonds', 'Queen of Clubs', '2 of Diamonds', 'Queen of Spades', '2 of Clubs', 'King of Clubs']",0,12,10 of Clubs,"[<tournament.Card object at 0x7f810aceaef0>, <tournament.Card object at 0x7f810ace92d0>]",2,18,False
8 of Diamonds,"['8 of Diamonds', '8 of Spades', '5 of Clubs', 'Ace of Hearts', 'King of Hearts', '8 of Hearts', '4 of Spades', '9 of Hearts', 'King of Diamonds', '4 of Diamonds', 'Queen of Clubs', '2 of Diamonds', 'Queen of Spades', '2 of Clubs', 'King of Clubs']",0,14,10 of Clubs,"[<tournament.Card object at 0x7f810aceaef0>, <tournament.Card object at 0x7f810ace92d0>]",2,18,False
5 of Hearts,"['5 of Hearts', '2 of Diamonds', '10 of Hearts', '10 of Spades', '6 of Hearts', '8 of Spades', '9 of Diamonds', '9 of Hearts', '6 of Diamonds', 'King of Clubs', '7 of Spades']",3,22,Jack of Clubs,"[<tournament.Card object at 0x7f810aceb0a0>, <tournament.Card object at 0x7f810acf0340>]",2,19,False
5 of Hearts,"['5 of Hearts', '2 of Diamonds', '10 of Hearts', '10 of Spades', '6 of Hearts', '8 of Spades', '9 of Diamonds', '9 of Hearts', '6 of Diamonds', 'King of Clubs', '7 of Spades', 'King of Spades']",2,16,Jack of Clubs,"[<tournament.Card object at 0x7f810aceb0a0>, <tournament.Card object at 0x7f810acf0340>]",2,19,False
5 of Hearts,"['5 of Hearts', '2 of Diamonds', '10 of Hearts', '10 of Spades', '6 of Hearts', '8 of Spades', '9 of Diamonds', '9 of Hearts', '6 of Diamonds', 'King of Clubs', '7 of Spades', 'King of Spades']",0,17,Jack of Clubs,"[<tournament.Card object at 0x7f810aceb0a0>, <tournament.Card object at 0x7f810acf0340>]",2,19,False
5 of Hearts,"['5 of Hearts', '2 of Diamonds', '10 of Hearts', '10 of Spades', '6 of Hearts', '8 of Spades', '9 of Diamonds', '9 of Hearts', '6 of Diamonds', 'King of Clubs', '7 of Spades', 'King of Spades']",0,15,Jack of Clubs,"[<tournament.Card object at 0x7f810aceb0a0>, <tournament.Card object at 0x7f810acf0340>]",2,19,False
5 of Hearts,"['5 of Hearts', '2 of Diamonds', '10 of Hearts', '10 of Spades', '6 of Hearts', '8 of Spades', '9 of Diamonds', '9 of Hearts', '6 of Diamonds', 'King of Clubs', '7 of Spades', 'King of Spades']",0,17,Jack of Clubs,"[<tournament.Card object at 0x7f810aceb0a0>, <tournament.Card object at 0x7f810acf0340>]",2,19,False
9 of Diamonds,"['9 of Diamonds', '7 of Spades', '10 of Clubs', '4 of Spades', '6 of Diamonds', '3 of Clubs', '2 of Diamonds', '5 of Diamonds', '7 of Diamonds', 'Jack of Clubs', '4 of Clubs']",3,17,3 of Spades,"[<tournament.Card object at 0x7f810acf02b0>, <tournament.Card object at 0x7f810acf0250>]",2,19,False
