Dealer Up,Drawn Cards,Num of Hits,Your End Total,Dealer's Face Down,Dealer Drawn Cards,Dealer Num Hits,Dealer End Total,Did YOU Win
5 of Clubs,"['5 of Clubs', '6 of Spades', 'King of Spades', '3 of Diamonds', '7 of Diamonds', '8 of Spades', 'Queen of Hearts', 'Ace of Spades', '2 of Hearts', '3 of Clubs', 'Jack of Hearts']",1,26,9 of Diamonds,"[<tournament.Card object at 0x7fc76168fd90>, <tournament.Card object at 0x7fc7616942e0>, <tournament.Card object at 0x7fc7616944c0>]",3,19,False
5 of Clubs,"['5 of Clubs', '6 of Spades', 'King of Spades', '3 of Diamonds', '7 of Diamonds', '8 of Spades', 'Queen of Hearts', 'Ace of Spades', '2 of Hearts', '3 of Clubs', 'Jack of Hearts', 'Jack of Spades']",1,13,9 of Diamonds,"[<tournament.Card object at 0x7fc76168fd90>, <tournament.Card object at 0x7fc7616942e0>, <tournament.Card object at 0x7fc7616944c0>]",3,19,False
5 of Clubs,"['5 of Clubs', '6 of Spades', 'King of Spades', '3 of Diamonds', '7 of Diamonds', '8 of Spades', 'Queen of Hearts', 'Ace of Spades', '2 of Hearts', '3 of Clubs', 'Jack of Hearts', 'Jack of Spades', '3 of Spades']",0,18,9 of Diamonds,"[<tournament.Card object at 0x7fc76168fd90>, <tournament.Card object at 0x7fc7616942e0>, <tournament.Card object at 0x7fc7616944c0>]",3,19,False
5 of Clubs,"['5 of Clubs', '6 of Spades', 'King of Spades', '3 of Diamonds', '7 of Diamonds', '8 of Spades', 'Queen of Hearts', 'Ace of Spades', '2 of Hearts', '3 of Clubs', 'Jack of Hearts', 'Jack of Spades', '3 of Spades']",2,14,9 of Diamonds,"[<tournament.Card object at 0x7fc76168fd90>, <tournament.Card object at 0x7fc7616942e0>, <tournament.Card object at 0x7fc7616944c0>]",3,19,False
5 of Clubs,"['5 of Clubs', '6 of Spades', 'King of Spades', '3 of Diamonds', '7 of Diamonds', '8 of Spades', 'Queen of Hearts', 'Ace of Spades', '2 of Hearts', '3 of Clubs', 'Jack of Hearts', 'Jack of Spades', '3 of Spades', '4 of Diamonds', '7 of Hearts']",0,13,9 of Diamonds,"[<tournament.Card object at 0x7fc76168fd90>, <tournament.Card object at 0x7fc7616942e0>, <tournament.Card object at 0x7fc7616944c0>]",3,19,False
3 of Hearts,"['3 of Hearts', '8 of Hearts', '2 of Hearts', '4 of Hearts', '6 of Clubs', 'King of Hearts', 'Queen of Spades', '8 of Clubs', '5 of Clubs', '9 of Hearts', '2 of Clubs']",4,22,Ace of Hearts,"[<tournament.Card object at 0x7fc76168f070>, <tournament.Card object at 0x7fc761694250>, <tournament.Card object at 0x7fc76168d6c0>]",3,22,False
3 of Hearts,"['3 of Hearts', '8 of Hearts', '2 of Hearts', '4 of Hearts', '6 of Clubs', 'King of Hearts', 'Queen of Spades', '8 of Clubs', '5 of Clubs', '9 of Hearts', '2 of Clubs', 'Ace of Diamonds', '5 of Diamonds', '6 of Hearts']",2,16,Ace of Hearts,"[<tournament.Card object at 0x7fc76168f070>, <tournament.Card object at 0x7fc761694250>, <tournament.Card object at 0x7fc76168d6c0>]",3,22,True
3 of Hearts,"['3 of Hearts', '8 of Hearts', '2 of Hearts', '4 of Hearts', '6 of Clubs', 'King of Hearts', 'Queen of Spades', '8 of Clubs', '5 of Clubs', '9 of Hearts', '2 of Clubs', 'Ace of Diamonds', '5 of Diamonds', '6 of Hearts', '6 of Spades']",0,20,Ace of Hearts,"[<tournament.Card object at 0x7fc76168f070>, <tournament.Card object at 0x7fc761694250>, <tournament.Card object at 0x7fc76168d6c0>]",3,22,True
3 of Hearts,"['3 of Hearts', '8 of Hearts', '2 of Hearts', '4 of Hearts', '6 of Clubs', 'King of Hearts', 'Queen of Spades', '8 of Clubs', '5 of Clubs', '9 of Hearts', '2 of Clubs', 'Ace of Diamonds', '5 of Diamonds', '6 of Hearts', '6 of Spades']",3,23,Ace of Hearts,"[<tournament.Card object at 0x7fc76168f070>, <tournament.Card object at 0x7fc761694250>, <tournament.Card object at 0x7fc76168d6c0>]",3,22,False
3 of Hearts,"['3 of Hearts', '8 of Hearts', '2 of Hearts', '4 of Hearts', '6 of Clubs', 'King of Hearts', 'Queen of Spades', '8 of Clubs', '5 of Clubs', '9 of Hearts', '2 of Clubs', 'Ace of Diamonds', '5 of Diamonds', '6 of Hearts', '6 of Spades', 'Jack of Clubs']",0,11,Ace of Hearts,"[<tournament.Card object at 0x7fc76168f070>, <tournament.Card object at 0x7fc761694250>, <tournament.Card object at 0x7fc76168d6c0>]",3,22,True
5 of Clubs,"['5 of Clubs', 'Ace of Clubs', 'Ace of Spades', '10 of Diamonds', '3 of Spades', 'Queen of Spades', '7 of Hearts', '7 of Clubs', '5 of Diamonds', 'Jack of Clubs', '3 of Hearts']",9,20,5 of Spades,"[<tournament.Card object at 0x7fc76168fe50>, <tournament.Card object at 0x7fc76168e0e0>]",2,20,False
5 of Clubs,"['5 of Clubs', 'Ace of Clubs', 'Ace of Spades', '10 of Diamonds', '3 of Spades', 'Queen of Spades', '7 of Hearts', '7 of Clubs', '5 of Diamonds', 'Jack of Clubs', '3 of Hearts', '5 of Hearts', '8 of Spades', '6 of Clubs', 'Jack of Hearts', 'Jack of Diamonds']",2,13,5 of Spades,"[<tournament.Card object at 0x7fc76168fe50>, <tournament.Card object at 0x7fc76168e0e0>]",2,20,False
5 of Clubs,"['5 of Clubs', 'Ace of Clubs', 'Ace of Spades', '10 of Diamonds', '3 of Spades', 'Queen of Spades', '7 of Hearts', '7 of Clubs', '5 of Diamonds', 'Jack of Clubs', '3 of Hearts', '5 of Hearts', '8 of Spades', '6 of Clubs', 'Jack of Hearts', 'Jack of Diamonds']",0,17,5 of Spades,"[<tournament.Card object at 0x7fc76168fe50>, <tournament.Card object at 0x7fc76168e0e0>]",2,20,False
5 of Clubs,"['5 of Clubs', 'Ace of Clubs', 'Ace of Spades', '10 of Diamonds', '3 of Spades', 'Queen of Spades', '7 of Hearts', '7 of Clubs', '5 of Diamonds', 'Jack of Clubs', '3 of Hearts', '5 of Hearts', '8 of Spades', '6 of Clubs', 'Jack of Hearts', 'Jack of Diamonds']",3,12,5 of Spades,"[<tournament.Card object at 0x7fc76168fe50>, <tournament.Card object at 0x7fc76168e0e0>]",2,20,False
5 of Clubs,"['5 of Clubs', 'Ace of Clubs', 'Ace of Spades', '10 of Diamonds', '3 of Spades', 'Queen of Spades', '7 of Hearts', '7 of Clubs', '5 of Diamonds', 'Jack of Clubs', '3 of Hearts', '5 of Hearts', '8 of Spades', '6 of Clubs', 'Jack of Hearts', 'Jack of Diamonds']",0,13,5 of Spades,"[<tournament.Card object at 0x7fc76168fe50>, <tournament.Card object at 0x7fc76168e0e0>]",2,20,False
Jack of Diamonds,"['Jack of Diamonds', '4 of Clubs', '10 of Clubs', '3 of Spades', '10 of Diamonds', '5 of Diamonds', 'Queen of Diamonds', 'King of Clubs', '2 of Hearts', '2 of Diamonds', '2 of Spades']",10,18,6 of Clubs,[<tournament.Card object at 0x7fc76168fdc0>],1,19,False
Jack of Diamonds,"['Jack of Diamonds', '4 of Clubs', '10 of Clubs', '3 of Spades', '10 of Diamonds', '5 of Diamonds', 'Queen of Diamonds', 'King of Clubs', '2 of Hearts', '2 of Diamonds', '2 of Spades', '4 of Diamonds']",3,21,6 of Clubs,[<tournament.Card object at 0x7fc76168fdc0>],1,19,True
Jack of Diamonds,"['Jack of Diamonds', '4 of Clubs', '10 of Clubs', '3 of Spades', '10 of Diamonds', '5 of Diamonds', 'Queen of Diamonds', 'King of Clubs', '2 of Hearts', '2 of Diamonds', '2 of Spades', '4 of Diamonds', '8 of Hearts']",0,15,6 of Clubs,[<tournament.Card object at 0x7fc76168fdc0>],1,19,False
Jack of Diamonds,"['Jack of Diamonds', '4 of Clubs', '10 of Clubs', '3 of Spades', '10 of Diamonds', '5 of Diamonds', 'Queen of Diamonds', 'King of Clubs', '2 of Hearts', '2 of Diamonds', '2 of Spades', '4 of Diamonds', '8 of Hearts']",3,12,6 of Clubs,[<tournament.Card object at 0x7fc76168fdc0>],1,19,False
Jack of Diamonds,"['Jack of Diamonds', '4 of Clubs', '10 of Clubs', '3 of Spades', '10 of Diamonds', '5 of Diamonds', 'Queen of Diamonds', 'King of Clubs', '2 of Hearts', '2 of Diamonds', '2 of Spades', '4 of Diamonds', '8 of Hearts']",0,2,6 of Clubs,[<tournament.Card object at 0x7fc76168fdc0>],1,19,False
Queen of Spades,"['Queen of Spades', 'Queen of Diamonds', '9 of Spades', '10 of Spades', '7 of Spades', '7 of Diamonds', '5 of Diamonds', 'Jack of Hearts', '6 of Hearts', '8 of Clubs', '3 of Clubs']",10,19,2 of Clubs,[<tournament.Card object at 0x7fc76168dff0>],1,20,False
Queen of Spades,"['Queen of Spades', 'Queen of Diamonds', '9 of Spades', '10 of Spades', '7 of Spades', '7 of Diamonds', '5 of Diamonds', 'Jack of Hearts', '6 of Hearts', '8 of Clubs', '3 of Clubs']",3,17,2 of Clubs,[<tournament.Card object at 0x7fc76168dff0>],1,20,False
Queen of Spades,"['Queen of Spades', 'Queen of Diamonds', '9 of Spades', '10 of Spades', '7 of Spades', '7 of Diamonds', '5 of Diamonds', 'Jack of Hearts', '6 of Hearts', '8 of Clubs', '3 of Clubs']",0,12,2 of Clubs,[<tournament.Card object at 0x7fc76168dff0>],1,20,False
Queen of Spades,"['Queen of Spades', 'Queen of Diamonds', '9 of Spades', '10 of Spades', '7 of Spades', '7 of Diamonds', '5 of Diamonds', 'Jack of Hearts', '6 of Hearts', '8 of Clubs', '3 of Clubs']",4,17,2 of Clubs,[<tournament.Card object at 0x7fc76168dff0>],1,20,False
Queen of Spades,"['Queen of Spades', 'Queen of Diamonds', '9 of Spades', '10 of Spades', '7 of Spades', '7 of Diamonds', '5 of Diamonds', 'Jack of Hearts', '6 of Hearts', '8 of Clubs', '3 of Clubs', 'Ace of Clubs']",0,11,2 of Clubs,[<tournament.Card object at 0x7fc76168dff0>],1,20,False
10 of Diamonds,"['10 of Diamonds', '8 of Clubs', '5 of Clubs', '9 of Hearts', '4 of Clubs', 'Queen of Clubs', '7 of Hearts', '3 of Spades', '2 of Diamonds', '3 of Hearts', '10 of Hearts']",12,20,5 of Spades,[<tournament.Card object at 0x7fc7616944c0>],1,20,False
10 of Diamonds,"['10 of Diamonds', '8 of Clubs', '5 of Clubs', '9 of Hearts', '4 of Clubs', 'Queen of Clubs', '7 of Hearts', '3 of Spades', '2 of Diamonds', '3 of Hearts', '10 of Hearts', 'Ace of Diamonds', '6 of Diamonds']",5,18,5 of Spades,[<tournament.Card object at 0x7fc7616944c0>],1,20,False
